Country Name,Country Code,"GNI per capita, PPP (current international $)","Mortality rate, under-5 (per 1,000 live births)"
Djibouti,DJI,,65.3
Dominica,DMA,10500,21.2
Early-demographic dividend,EAR,8613.02,42.14
East Asia & Pacific,EAS,15923.89,17.11
East Asia & Pacific (excluding high income),EAP,12893.2,18
East Asia & Pacific (IDA & IBRD countries),TEA,13029.87,17.95
Equatorial Guinea,GNQ,27200,94.1
Eritrea,ERI,,46.5
Estonia,EST,27230,2.9
Euro area,EMU,40216.22,3.96
Europe & Central Asia,ECS,29514.78,11.25
Europe & Central Asia (excluding high income),ECA,17616.78,17.1
Europe & Central Asia (IDA & IBRD countries),TEC,18303.08,16.39
European Union,EUU,37660.47,4.43
Faroe Islands,FRO,,
Fiji,FJI,8850,22.4
Finland,FIN,41330,2.3
Fragile and conflict affected situations,FCS,3875.97,77.59
France,FRA,40270,4.3
French Polynesia,PYF,,
Gabon,GAB,18880,50.8
"Gambia, The",GMB,,68.9
Georgia,GEO,9430,11.9
Germany,DEU,48410,3.7
Gibraltar,GIB,,
Greece,GRC,26790,4.6
Greenland,GRL,,
Grenada,GRD,13090,11.8
Guam,GUM,,
Guinea,GIN,1120,93.7
Guinea-Bissau,GNB,1450,92.5
Guyana,GUY,7540,39.4
Heavily indebted poor countries (HIPC),HPC,2110.3,76.38
High income,HIC,45365.93,5.5
"Hong Kong SAR, China",HKG,57860,
Hungary,HUN,24620,5.9
IBRD only,IBD,12244.35,29.65
Iceland,ISL,46500,2
IDA & IBRD total,IBT,9954.65,47.04
IDA blend,IDB,5652.33,82.34
IDA only,IDX,2694.49,67.75
IDA total,IDA,3754.51,72.66
"Iran, Islamic Rep.",IRN,,15.5
Iraq,IRQ,15340,32
Ireland,IRL,51920,3.6
Isle of Man,IMY,,
Israel,ISR,35300,4
Italy,ITA,35850,3.5
Jamaica,JAM,8890,15.7
Japan,JPN,38870,2.7
Jordan,JOR,10760,17.9
Kazakhstan,KAZ,23480,14.1
Kenya,KEN,3070,49.4
Kiribati,KIR,4230,55.9
"Korea, Dem. People’s Rep.",PRK,,24.9
Kosovo,KSV,9900,
Kuwait,KWT,84360,8.6
Kyrgyz Republic,KGZ,3310,21.3
Lao PDR,LAO,5400,66.7
Late-demographic dividend,LTE,15654.13,12.66
Latin America & Caribbean,LCN,15075.46,17.96
Latin America & Caribbean (excluding high income),LAC,14695.28,18.2
Latin America & the Caribbean (IDA & IBRD countries),TLA,14859.06,18.1
Latvia,LVA,24200,7.9
Least developed countries: UN classification,LDC,2503.13,73.11
Lebanon,LBN,13750,8.3
Lesotho,LSO,3290,90.2
Liberia,LBR,720,69.9
Libya,LBY,,13.4
Liechtenstein,LIE,,
Lithuania,LTU,26520,5.2
Low & middle income,LMY,9794.95,46.4
Low income,LIC,1602.13,76.1
Lower middle income,LMC,6408.78,52.6
Luxembourg,LUX,70750,1.9
"Macao SAR, China",MAC,102480,
"Macedonia, FYR",MKD,13570,5.5
Madagascar,MDG,1410,49.6
Malawi,MWI,1140,64
Malaysia,MYS,26190,7
Maldives,MDV,11480,8.6
Mali,MLI,1970,114.7
Malta,MLT,32530,6.4
Marshall Islands,MHL,5430,36
Mauritania,MRT,,84.7
Mauritius,MUS,19940,13.5
Mexico,MEX,17140,13.2
"Micronesia, Fed. Sts.",FSM,4120,34.7
Middle East & North Africa,MEA,18838.27,23.34
Middle East & North Africa (excluding high income),MNA,,24.7
Middle East & North Africa (IDA & IBRD countries),TMN,,24.9
Middle income,MIC,10743.5,39.9
Moldova,MDA,5400,15.8
Monaco,MCO,,3.5
Mongolia,MNG,11220,22.4
Montenegro,MNE,15860,4.7
Morocco,MAR,7690,27.6
Mozambique,MOZ,1170,78.5
Myanmar,MMR,4930,50
Namibia,NAM,10380,45.4
Nauru,NRU,,35.4
Nepal,NPL,2500,35.8
Netherlands,NLD,48140,3.8
New Caledonia,NCL,,
Nicaragua,NIC,5060,22.1
Niger,NER,950,95.5
Nigeria,NGA,5810,108.8
North America,NAC,56189.32,6.36
Northern Mariana Islands,MNP,,
Norway,NOR,64490,2.6
Not classified,INX,,
OECD members,OED,40287.72,6.89
Oman,OMN,38650,11.6
Other small states,OSS,24193.74,54.85
Pacific island small states,PSS,5696.37,26.64
Pakistan,PAK,5320,81.1
Palau,PLW,14730,16.4
Panama,PAN,20460,17
Papua New Guinea,PNG,,57.3
Paraguay,PRY,8680,20.5
Peru,PER,12060,16.9
Philippines,PHL,8940,28
Poland,POL,25350,5.2
Portugal,PRT,28590,3.6
Post-demographic dividend,PST,43604.7,5.01
Pre-demographic dividend,PRE,3564.7,86.75
Qatar,QAT,138480,8
Romania,ROM,20900,11.1
Russian Federation,RUS,23770,9.6
Rwanda,RWA,1720,41.7
Samoa,WSM,5740,17.5
San Marino,SMR,,2.9
Sao Tome and Principe,STP,3250,47.3
Saudi Arabia,SAU,54840,14.5
Senegal,SEN,2380,47.2
Serbia,SRB,13040,6.7
Seychelles,SYC,25810,13.6
Sierra Leone,SLE,1560,120.4
Singapore,SGP,81360,2.7
Sint Maarten (Dutch part),SXM,,
Slovak Republic,SVK,28630,7.3
Slovenia,SVN,30350,2.6
Small states,SST,21385.59,48.33
Solomon Islands,SLB,2190,28.1
Somalia,SOM,,136.8
South Asia,SAS,5658.13,52.5
South Asia (IDA & IBRD),TSA,5658.13,52.58
South Sudan,SSD,1630,92.6
Sri Lanka,LKA,11500,9.8
St. Kitts and Nevis,KNA,24370,10.5
St. Lucia,LCA,10780,14.3
St. Martin (French part),MAF,,
St. Vincent and the Grenadines,VCT,11090,18.3
Sub-Saharan Africa,SSF,3569.34,83.18
Sub-Saharan Africa (excluding high income),SSA,3567.28,83.1
Sub-Saharan Africa (IDA & IBRD countries),TSS,3569.34,83.18
Sudan,SDN,3990,70.1
Suriname,SUR,16610,21.3
Swaziland,SWZ,8260,60.7
Sweden,SWE,47530,3
Switzerland,CHE,62590,3.9
Syrian Arab Republic,SYR,,12.9
Tajikistan,TJK,3460,44.8
Tanzania,TZA,2630,48.7
Thailand,THA,15520,12.3
Timor-Leste,TMP,4330,52.6
Togo,TGO,1330,78.4
Tonga,TON,5590,16.7
Trinidad and Tobago,TTO,32180,20.4
Turkey,TUR,19350,13.5
Turkmenistan,TKM,15760,51.4
Turks and Caicos Islands,TCA,,
Tuvalu,TUV,6690,27.1
Uganda,UGA,1820,54.6
United Arab Emirates,ARE,70020,6.8
United Kingdom,GBR,40610,4.2
United States,USA,57540,6.5
Upper middle income,UMC,15659.35,18.5
Uzbekistan,UZB,6200,39.1
Vanuatu,VUT,,27.5
Vietnam,VNM,5730,21.7
Virgin Islands (U.S.),VIR,,
West Bank and Gaza,WBG,,21.1
World,WLD,15529.5,42.5
Zambia,ZMB,3640,64
